Name,Stems,Branches,Length,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
00311_P005_T01-S001_MFG_R0509_GYC-20220525_GYC_stamp_2022_07_25_15_15.ano.eswc,10,104,3649.47,85.0071,67.4414,1.08852
00312_P005_T01-S001_MFG_R0678_GYC-20220525_GYC_stamp_2022_07_25_15_16.ano.eswc,8,139,5480.66,92.4797,69.1382,1.10626
00313_P005_T01-S001_MFG_R0509_GYC-20220525_GYC_stamp_2022_07_25_15_17.ano.eswc,9,129,5137.15,92.1981,65.4332,1.12668
00314_P005_T01-S001_MFG_R0678_GYC-20220525_GYC_stamp_2022_07_25_17_11.ano.eswc,8,96,4186.35,86.199,62.6608,1.10131
00315_P005_T01-S001_MFG_R0509_GYC-20220525_GYC_stamp_2022_07_21_17_08.ano.eswc,16,148,4970.67,70.6679,62.6025,1.13333
00316_P005_T01-S001_MFG_R0509_GYC-20220525_GYC_stamp_2022_07_25_17_18.ano.eswc,13,161,4753.76,76.0539,62.6456,1.1138
00317_P005_T01-S001_MFG_R0509_GYC-20220525_GYC_stamp_2022_07_25_17_12.ano.eswc,8,94,3572.57,95.8782,72.5478,1.11236
00318_P005_T01-S001_MFG_R0509_GYC-20220525_GYC_stamp_2022_07_25_17_13.ano.eswc,8,96,4021.39,80.8365,72.9449,1.10868
00320_P005_T01-S003_MFG_R0678_LJ-20220525_GSX_stamp_2022_07_26_15_45.ano.eswc,12,132,4717.62,88.0486,62.345,1.12325
00322_P005_T01-S003_MFG_R0509_LJ-20220525_GSX_stamp_2022_08_31_14_29.ano.eswc,10,120,4414.04,79.5493,56.8377,1.13184
00325_P005_T01-S003_MFG_R0509_LJ-20220525_GSX_stamp_2022_07_26_16_34.ano.eswc,7,45,1569.13,85.7753,61.3062,1.04256
00326_P005_T01-S003_MFG_R0509_LJ-20220525_GSX_stamp_2022_07_21_17_09.ano.eswc,15,91,3355.19,69.3295,59.2846,1.16772
