Name,BrainRgn,Age,Sex,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
00150_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_11_17_15.ano.eswc,IPL,49,F,2618,1809.56,9,58,125,68,264.816,257.46,162,2.11579,4569.2,35384.1,44787.9,191.348,224.968,9,0.924172,19.936,0.94451,69.3851,56.1059,1.09272
00152_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_11_17_16.ano.eswc,IPL,49,F,2037,2123.72,7,58,121,64,248.878,272.12,158,2.22394,3772.11,30663,48009,197.634,221.434,13,0.914126,15.8264,1.05634,74.3609,63.8308,1.09206
00153_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_08_22_10_39.ano.eswc,IPL,49,F,1129,12.5664,7,35,75,41,180.222,223.745,129,1.99823,1906.28,11977.5,5988.76,169.712,187.293,9,0.921739,14.04,1,84.8156,64.4111,1.09501
00154_P003_T01-S001_S(M)TG_R0460_WY-20220513_YXQ_stamp_2022_07_11_17_17.ano.eswc,IPL,49,F,948,4071.5,8,27,61,35,155.02,154.56,128,2.66628,1609.92,18526.3,56681.6,98.5835,140.934,5,0.915777,14.5246,0.817168,76.7173,64.4355,1.05454
00156_P003_T01-S005_S(M)TG_R0613_WY-20220513_GYC_stamp_2022_08_30_09_25.ano.eswc,IPL,49,F,1363,12.5664,9,27,61,35,245.813,254.395,124,1.99853,2215.84,13922.5,6961.27,153.622,181.43,6,0.910299,21.3279,1,82.4019,64.9163,1.06212
00157_P003_T01-S005_S(M)TG_R0613_WY-20220513_GYC_stamp_2022_08_11_14_31.ano.eswc,IPL,49,F,1987,12.5664,8,39,84,46,288.11,305.887,139,1.99899,3327.59,20907.9,10453.9,181.987,234.267,7,0.913611,22.6429,1,77.0336,59.6505,1.08043
00163_P003_T01-S005_S(M)TG_R0613_WY-20220513_GYC_stamp_2022_07_11_17_18.ano.eswc,IPL,49,F,3785,5541.77,7,85,175,91,310.791,308.952,171,2.23978,6949.34,58367.7,97606.5,212.297,235.519,13,0.917434,20.6229,0.975941,76.4466,55.7826,1.08333
00165_P003_T01-S005_S(M)TG_R0613_WY-20220513_GYC_stamp_2022_07_11_17_19.ano.eswc,IPL,49,F,1919,6647.61,6,60,124,65,312.358,313.243,203.971,2.24829,5043.48,42361.1,59881.2,212.846,276.19,11,0.933848,14.4677,0.923114,70.7894,58.8193,1.09392
00166_P003_T01-S005_S(M)TG_R0460_WY-20220513_GYC_stamp_2022_07_11_17_20.ano.eswc,IPL,49,F,2355,5541.77,9,58,123,66,234.6,225.4,121,2.29078,3540.99,31070.9,66109.4,158.702,239.724,6,0.905066,18.1382,0.903818,71.5095,52.7269,1.13242
00168_P003_T01-S005_S(M)TG_R0613_WY-20220513_GYC_stamp_2022_07_11_17_21.ano.eswc,IPL,49,F,2423,3631.68,7,67,140,74,312.63,272.785,151,2.21942,4691.82,36891.2,46182.4,205.419,251.142,8,0.924197,16.3,0.94241,74.0788,55.524,1.09019
